Caption,Platform,Search Query,Date of Collection,Link,Keyword Density (%),Readability Score,Caption Length,Hashtag Count,Hashtag Type,Post Timing,Sentiment Score,Caption Format,CTA Presence,Emphasis Style (%),Search Rank,Search Visibility,Caption Score,Top 20 Probability %
"Triple S lowering springs installation on the Toyota Vios Batman!
- Join countless others in the growing Triple S community in the Philippines.
- Average of 1.5 inches drop from standard stock height. 
- Currently the popular brand with the highest positive feedback from our local and international clients.
A.) Triple S Key Features: 
1. Safety - Improved control
2. Sport - Prevention of under & oversteering
3. Stability - Lowered stance
B.) 100% Taiwan Original:
1. Optimized height reduction providing comfort & stability.
2. Undergoes technical tests.
3. SAE9254 Cold forged silicon aluminum alloy material for durability.
4. R&D with Metal Industries Research & Development Center for KC Chassis Steering & Vehicle test.
5. Certification: ISO9001/ISO TS16949 
 We are a dealer of brand new, surplus, original & replacement parts. Offroad and Performance is our specialty.
Autobuff Motor Sales (Offroad branch):
- 667 Banawe st., corner N.S. Amoranto st., Q.C. 
- Beside Security Bank, Across Ersao, Near BDO Amoranto, Army Navy, Papa John's & Orthopedic.
- 87433207, 87111372 & 87433191.
Autospecs Motor Sales (Performance & OEM branch):
- 37H Banawe st., corner Dapitan st., Q.C. 
- Across Metrobank, Phil Biz Bank & Comglasco.
- 87323835, 87439376 & 87115046.
 Facebook Pages: 
- Autospecs Motor Sales
- Triple S Philippines
- Silvers Coilovers Philippines
- Raceday Specialist Philippines
- Autogauge Philippines
- Freepower Philippines
- Nashin Philippines
- Aftermarket Clothing
- Artsticker Philippines
- Jimny Offroad Philippines
- Cambo Suspension Philippines
- HC Winch Philippines
- Overland Philippines
 Instagram: 
- autospecs_autobuff
- triple_s_philippines
- silvers_coilovers_philippines
- nashin_philippines 
- overland_philippines
Our official hashtags:
#TeamAutospecs
#TeamAutobuff
#TripleSsuspension
#SilversCoilovers
#NashinBBK
#RacedaySpecialist1989
#FreepowerSdrive
#AutogaugeGauges
#Lightforce
#ARBTeamPhilippines
#OverlandTeamPhilippines
#Manila #Philippines #Cars #Car #CarsOfInstagram #CarPorn #CarLifeStyle #CarPhotography #InstaCars #InstaGood #Racing #LoweredLifestyle #JDM #Stance #Offroad #Offroading #OffroadNation #Overland #LiftedTrucks",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/16n7JrzJ7x/,6.36,-182.59,220,30,4,18.65,0.964,3,1,16.44%,50,0,-1.659658545,15.98078386
"❤️𝑲𝒊𝒅𝒔 𝑻𝒓𝒆𝒏𝒅𝒚 𝑶𝑶𝑻𝑫 𝑪𝒍𝒐𝒕𝒉𝒆𝒔 new arrival Feb 1,2022❤️
(turban untill supplies last)
𝚏𝙾𝚁 1-9 𝚈𝚁𝚂 𝙾𝙻𝙳
☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎꧁P͟R͟O͟M͟O͟꧂☟︎︎︎☟︎︎︎☟︎︎︎☟︎︎︎
𝐁𝐔𝐘 𝐀𝐍𝐘 6 𝐏𝐂𝐒. 𝐅𝐎𝐑""""₱999""""𝐏𝐄𝐒𝐎𝐒 𝐎𝐍𝐋𝐘
any size/any print/any design and yes it can be assorted. 
★★★ℝ𝔼𝕋𝔸𝕀𝕃★★★
Small(1-2 yrs)- 170 𝘱𝘦𝘴𝘰𝘴 𝘰𝘯𝘭𝘺 each
medium(3-5yrs) -190 𝘱𝘦𝘴𝘰𝘴 𝘰𝘯𝘭𝘺 each
Large(7-9yrs)- 220 𝘱𝘦𝘴𝘰𝘴 𝘰𝘯𝘭𝘺 each
👉Para sa mga NEGOSHANTE👈
𝐁𝐮𝐥𝐤 𝐨𝐫𝐝𝐞𝐫/𝐑𝐞𝐬𝐞𝐥𝐥𝐞𝐫𝐬/𝐰𝐡𝐨𝐥𝐞𝐬𝐚𝐥𝐞
𝑚𝑖𝑛𝑖𝑚𝑢𝑚 20𝑝𝑐𝑠 𝑡𝑜 𝑎𝑣𝑎𝑖𝑙
small-₱125
medium-₱135
large-₱150
Ⓣ︎Ⓡ︎Ⓔ︎Ⓝ︎Ⓓ︎Ⓨ︎
🅢︎🅞︎🅕︎🅣︎ 🅒︎🅞︎🅣︎🅣︎🅞︎🅝︎
Ⓖ︎Ⓐ︎Ⓡ︎Ⓣ︎Ⓔ︎Ⓡ︎Ⓘ︎Ⓩ︎Ⓔ︎Ⓓ︎
🅢︎🅣︎🅔︎🅡︎🅣︎🅒︎🅗︎🅨︎
Ⓒ︎Ⓞ︎Ⓜ︎Ⓕ︎Ⓨ︎
Shopee check out👇👇👇👇
👉SMALL👈
https://shopee.ph/product/111905222/9128530122...
👉Medium 👈
https://shopee.ph/product/111905222/9233992960...
👉Large👈
https://shopee.ph/product/111905222/5577783845...
WE DO SHIPPING NATIONWIDE
DOOR TO DOOR/BRANCH PICK UP
COD/COP
PLEASE MESSAGE US FOR ORDERS
ℳ𝓎 ℒ𝒾ℒ 𝒥𝓊𝒶𝓃𝓈",Facebook,Where to buy trendy clothes PH,"June 16, 2025",https://www.facebook.com/myliljuans/posts/pfbid0PYc9qhe1sqerf3ZxGWMspVMbqAu66NyGUhtW6NcZb8b2rQZaZULw39U8SvDUnDaBl,1.11,-5.77,90,0,0,12.5667,0.402,3,1,58.15%,66,0,-1.096187467,25.04549296
"Triple S lowering springs installation on the Toyota Yaris 
- Join countless others in the growing Triple S community in the Philippines.
- Average of 1.5 inches drop from standard stock height. 
- Currently the popular brand with the highest positive feedback from our local and international clients. 
A.) Triple S Key Features: 
1. Safety - Improved control
2. Sport - Prevention of under & oversteering
3. Stability - Lowered stance 
B.) 100% Taiwan Original:
1. Optimized height reduction providing comfort & stability.
2. Undergoes technical tests.
3. SAE9254 Cold forged silicon aluminum alloy material for durability.
4. R&D with Metal Industries Research & Development Center for KC Chassis Steering & Vehicle test.
5. Certification: ISO9001/ISO TS16949 
 We are a dealer of brand new, surplus, original & replacement parts. Offroad and Performance is our specialty. Established since 1989. 
Autobuff Motor Sales (Offroad branch):
- 667 Banawe st., corner N.S. Amoranto st., Q.C. 
- Beside Security Bank, Across Ersao, Near BDO Amoranto, Army Navy, Papa John's & Orthopedic.
- 87433207, 87111372 & 87433191. 
Autospecs Motor Sales (Performance & OEM branch):
- 37H Banawe st., corner Dapitan st., Q.C. 
- Across Metrobank, Phil Biz Bank & Comglasco.
- 87323835, 87439376 & 87115046. 
 Shopee: https://shopee.ph/lancebanawe?smtt=0.0.9 
 Facebook Pages: 
- Autospecs Motor Sales
- Triple S Philippines
- Silvers Coilovers Philippines
- Raceday Specialist Philippines
- Autogauge Philippines
- Freepower Philippines
- Nashin Philippines
- Aftermarket Clothing
- Artsticker Philippines
- Jimny Offroad Philippines
- Cambo Suspension Philippines
- HC Winch Philippines
- Overland Philippines 
Our official hashtags:
#TeamAutospecs
#TeamAutobuff
#TripleSsuspension
#SilversCoilovers
#NashinBBK
#RacedaySpecialist1989
#FreepowerSdrive
#AutogaugeGauges
#Lightforce
#ARBTeamPhilippines
#OverlandTeamPhilippines 
#Manila #Philippines #Cars #Car #CarsOfInstagram #CarPorn #CarLifeStyle #CarPhotography #InstaCars #InstaGood #Racing #LoweredLifestyle #JDM #Stance #Offroad #Offroading #OffroadNation #Overland #LiftedTrucks",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/16oEEiA4nK/,6.42,-176.26,218,30,4,13.0833,0.963,3,1,16.33%,52,0,-1.641387776,16.22763161
"Silvers Coilovers installation on the Honda Jazz GK 
- Join countless others in the growing Silvers community in the Philippines.
- Currently the popular brand with the highest positive feedback from our local and international clients. 
Silvers Neomax Coilovers specs:
- Heavy duty STANDARD front top mount plates
- Fully adjustable height 
- 1 year warranty
- 24 levels of soft and hard dampening
- Increased stability with STIFFER and STRONGER suspension feel
- 52mm carbon steel
- 44mm linear internal piston
- Monotube shock design
- IP F.A. 5w damper oil
- Cold-bent SAE9252 coilsprings
- Powder painted
- Rebuildable parts
- Full aftermarket support from Silvers Head Factory at Taiwan
- Professional manufacturing experience and certification since 1999 
 We are a dealer of brand new, surplus, original & replacement parts. Offroad and Performance is our specialty. 
Autobuff Motor Sales (Offroad branch):
- 667 Banawe st., corner N.S. Amoranto st., Q.C. 
- Beside Security Bank, Across Ersao, Near BDO Amoranto, Army Navy, Papa John's & Orthopedic.
- 87433207, 87111372 & 87433191. 
Autospecs Motor Sales (Performance & OEM branch):
- 37H Banawe st., corner Dapitan st., Q.C. 
- Across Metrobank, Phil Biz Bank & Comglasco.
- 87323835, 87439376 & 87115046. 
 Facebook Pages: 
- Autospecs Motor Sales
- Triple S Philippines
- Silvers Coilovers Philippines
- Raceday Specialist Philippines
- Autogauge Philippines
- Freepower Philippines
- Nashin Philippines
- Aftermarket Clothing
- Artsticker Philippines
- Jimny Offroad Philippines
- Cambo Suspension Philippines
- HC Winch Philippines
- Overland Philippines 
 Instagram: 
- autospecs_autobuff
- triple_s_philippines
- silvers_coilovers_philippines
- nashin_philippines 
- overland_philippines 
Our official hashtags:
#TeamAutospecs
#TeamAutobuff
#TripleSsuspension
#SilversCoilovers
#NashinBBK
#RacedaySpecialist1989
#FreepowerSdrive
#AutogaugeGauges
#Lightforce
#ARBTeamPhilippines
#OverlandTeamPhilippines 
#Manila #Philippines #Cars #Car #CarsOfInstagram #CarPorn #CarLifeStyle #CarPhotography #InstaCars #InstaGood #Racing #LoweredLifestyle #JDM #Stance #Offroad #Offroading #OffroadNation #Overland #LiftedTrucks",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/15UsP7edmc/,6.48,-176.51,216,30,4,13.15,0.958,3,1,16.93%,53,0,-1.648298945,16.13389846
"Ni Hao Discovers: Featuring Filipino and Chinese Street Fashion
Which one is your favorite? Comment down below! 🤗
Also, follow Ni Hao Manila's official Tiktok page to see more of their outfit style!
TIKTOK LINK: https://www.tiktok.com/@nihaomanila?lang=en
#nihaomanila #nihaodiscovers #outfit #street #fashion #style #ootd #manila #filipino #chinese #aesthetics #china #philippines #clothing #style #fypシ #foryou #viralpost #viralvideo",Facebook,Street fashion Manila,"June 16, 2025",https://www.facebook.com/nihaomanila/videos/1724412177961141/,5.71,16.61,35,19,5,16.6333,0.749,3,1,19.81%,23,0,-2.123340771,10.68488345
"There are days you feel lost.
Days you fall.
And days you rise again.
The Shijin Collection is for those stories.
For every version of you.",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/14wqeNDDHr/,0,69.81,26,0,0,10.0333,0,3,0,9.32%,55,0,-1.350709843,20.57543454
"Triple S lowering springs installation on the Subaru Levorg 
- Join countless others in the growing Triple S community in the Philippines.
- Average of 1.5 inches drop from standard stock height. 
- Currently the popular brand with the highest positive feedback from our local and international clients. 
A.) Triple S Key Features: 
1. Safety - Improved control
2. Sport - Prevention of under & oversteering
3. Stability - Lowered stance 
B.) 100% Taiwan Original:
1. Optimized height reduction providing comfort & stability.
2. Undergoes technical tests.
3. SAE9254 Cold forged silicon aluminum alloy material for durability.
4. R&D with Metal Industries Research & Development Center for KC Chassis Steering & Vehicle test.
5. Certification: ISO9001/ISO TS16949 
 We are a dealer of brand new, surplus, original & replacement parts. Offroad and Performance is our specialty. Established since 1989. 
Autobuff Motor Sales (Offroad branch):
- 667 Banawe st., corner N.S. Amoranto st., Q.C. 
- Beside Security Bank, Across Ersao, Near BDO Amoranto, Army Navy, Papa John's & Orthopedic.
- 87433207, 87111372 & 87433191. 
Autospecs Motor Sales (Performance & OEM branch):
- 37H Banawe st., corner Dapitan st., Q.C. 
- Across Metrobank, Phil Biz Bank & Comglasco.
- 87323835, 87439376 & 87115046. 
 Shopee: https://shopee.ph/lancebanawe?smtt=0.0.9 
 Facebook Pages: 
- Autospecs Motor Sales
- Triple S Philippines
- Silvers Coilovers Philippines
- Raceday Specialist Philippines
- Autogauge Philippines
- Freepower Philippines
- Nashin Philippines
- Aftermarket Clothing
- Artsticker Philippines
- Jimny Offroad Philippines
- Cambo Suspension Philippines
- HC Winch Philippines
- Overland Philippines 
Our official hashtags:
#TeamAutospecs
#TeamAutobuff
#TripleSsuspension
#SilversCoilovers
#NashinBBK
#RacedaySpecialist1989
#FreepowerSdrive
#AutogaugeGauges
#Lightforce
#ARBTeamPhilippines
#OverlandTeamPhilippines 
#Manila #Philippines #Cars #Car #CarsOfInstagram #CarPorn #CarLifeStyle #CarPhotography #InstaCars #InstaGood #Racing #LoweredLifestyle #JDM #Stance #Offroad #Offroading #OffroadNation #Overland #LiftedTrucks",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/15yAGZtsoD/,6.42,-176.65,218,30,4,19.25,0.963,3,1,16.32%,56,0,-1.661437699,15.95690973
"Silvers Coilovers installation on the Mitsubishi Mirage. 
- Join countless others in the growing Silvers community in the Philippines.
- Currently the popular brand with the highest positive feedback from our local and international clients.
Silvers Neomax Coilovers specs:
- Heavy duty standard top mount plates
- Fully adjustable height 
- 1 year warranty
- 24 levels of soft and hard dampening
- Increased stability with STIFFER and STRONGER suspension feel
- 52mm carbon steel
- 44mm linear internal piston
- Monotube shock design
- IP F.A. 5w damper oil
- Cold-bent SAE9252 coilsprings
- Powder painted
- Rebuildable parts
- Full aftermarket support from Silvers Head Factory at Taiwan
- Professional manufacturing experience and certification since 1999
 We are a dealer of brand new, surplus, original & replacement parts. Offroad and Performance is our specialty.
Autobuff Motor Sales (Offroad branch):
- 667 Banawe st., corner N.S. Amoranto st., Q.C. 
- Beside Security Bank, Across Ersao, Near BDO Amoranto, Army Navy, Papa John's & Orthopedic.
- 87433207, 87111372 & 87433191.
Autospecs Motor Sales (Performance & OEM branch):
- 37H Banawe st., corner Dapitan st., Q.C. 
- Across Metrobank, Phil Biz Bank & Comglasco.
- 87323835, 87439376 & 87115046.
 Facebook Pages: 
- Autospecs Motor Sales
- Triple S Philippines
- Silvers Coilovers Philippines
- Raceday Specialist Philippines
- Autogauge Philippines
- Freepower Philippines
- Nashin Philippines
- Aftermarket Clothing
- Artsticker Philippines
- Jimny Offroad Philippines
- Cambo Suspension Philippines
- HC Winch Philippines
- Overland Philippines
 Instagram: 
- autospecs_autobuff
- triple_s_philippines
- silvers_coilovers_philippines
- nashin_philippines 
- overland_philippines
Our official hashtags:
#TeamAutospecs
#TeamAutobuff
#TripleSsuspension
#SilversCoilovers
#NashinBBK
#RacedaySpecialist1989
#FreepowerSdrive
#AutogaugeGauges
#Lightforce
#ARBTeamPhilippines
#OverlandTeamPhilippines
#Manila #Philippines #Cars #Car #CarsOfInstagram #CarPorn #CarLifeStyle #CarPhotography #InstaCars #InstaGood #Racing #LoweredLifestyle #JDM #Stance #Offroad #Offroading #OffroadNation #Overland #LiftedTrucks",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/1AYNk5cZjh/,6.54,-176.41,214,30,4,17.85,0.958,3,1,16.28%,57,0,-1.668195362,15.86649323
"Triple S lowering springs installation on the Ford Lynx 
- Join countless others in the growing Triple S community in the Philippines.
- Average of 1.5 inches drop from standard stock height. 
- Currently the popular brand with the highest positive feedback from our local and international clients. 
A.) Triple S Key Features: 
1. Safety - Improved control
2. Sport - Prevention of under & oversteering
3. Stability - Lowered stance 
B.) 100% Taiwan Original:
1. Optimized height reduction providing comfort & stability.
2. Undergoes technical tests.
3. SAE9254 Cold forged silicon aluminum alloy material for durability.
4. R&D with Metal Industries Research & Development Center for KC Chassis Steering & Vehicle test.
5. Certification: ISO9001/ISO TS16949 
 We are a dealer of brand new, surplus, original & replacement parts. Offroad and Performance is our specialty. 
Autobuff Motor Sales (Offroad branch):
- 667 Banawe st., corner N.S. Amoranto st., Q.C. 
- Beside Security Bank, Across Ersao, Near BDO Amoranto, Army Navy, Papa John's & Orthopedic.
- 87433207, 87111372 & 87433191. 
Autospecs Motor Sales (Performance & OEM branch):
- 37H Banawe st., corner Dapitan st., Q.C. 
- Across Metrobank, Phil Biz Bank & Comglasco.
- 87323835, 87439376 & 87115046. 
 Facebook Pages: 
- Autospecs Motor Sales
- Triple S Philippines
- Silvers Coilovers Philippines
- Raceday Specialist Philippines
- Autogauge Philippines
- Freepower Philippines
- Nashin Philippines
- Aftermarket Clothing
- Artsticker Philippines
- Jimny Offroad Philippines
- Cambo Suspension Philippines
- HC Winch Philippines
- Overland Philippines 
 Instagram: 
- autospecs_autobuff
- triple_s_philippines
- silvers_coilovers_philippines
- nashin_philippines 
- overland_philippines 
Our official hashtags:
#TeamAutospecs
#TeamAutobuff
#TripleSsuspension
#SilversCoilovers
#NashinBBK
#RacedaySpecialist1989
#FreepowerSdrive
#AutogaugeGauges
#Lightforce
#ARBTeamPhilippines
#OverlandTeamPhilippines 
#Manila #Philippines #Cars #Car #CarsOfInstagram #CarPorn #CarLifeStyle #CarPhotography #InstaCars #InstaGood #Racing #LoweredLifestyle #JDM #Stance #Offroad #Offroading #OffroadNation #Overland #LiftedTrucks",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/1ErRxEjaTX/,6.39,-180.79,219,30,4,14.45,0.963,3,1,16.41%,58,0,-1.647347844,16.14677183
"Triple S lowering springs installation on the Toyota Camry. 
- Join countless others in the growing Triple S community in the Philippines.
- Average of 1.5 inches drop from standard stock height. 
- Currently the popular brand with the highest positive feedback from our local and international clients.
A.) Triple S Key Features: 
1. Safety - Improved control
2. Sport - Prevention of under & oversteering
3. Stability - Lowered stance
B.) 100% Taiwan Original:
1. Optimized height reduction providing comfort & stability.
2. Undergoes technical tests.
3. SAE9254 Cold forged silicon aluminum alloy material for durability.
4. R&D with Metal Industries Research & Development Center for KC Chassis Steering & Vehicle test.
5. Certification: ISO9001/ISO TS16949 
 We are a dealer of brand new, surplus, original & replacement parts. Offroad and Performance is our specialty.
Autobuff Motor Sales (Offroad branch):
- 667 Banawe st., corner N.S. Amoranto st., Q.C. 
- Beside Security Bank, Across Ersao, Near BDO Amoranto, Army Navy, Papa John's & Orthopedic.
- 87433207, 87111372 & 87433191.
Autospecs Motor Sales (Performance & OEM branch):
- 37H Banawe st., corner Dapitan st., Q.C. 
- Across Metrobank, Phil Biz Bank & Comglasco.
- 87323835, 87439376 & 87115046.
 Facebook Pages: 
- Autospecs Motor Sales
- Triple S Philippines
- Silvers Coilovers Philippines
- Raceday Specialist Philippines
- Autogauge Philippines
- Freepower Philippines
- Nashin Philippines
- Aftermarket Clothing
- Artsticker Philippines
- Jimny Offroad Philippines
- Cambo Suspension Philippines
- HC Winch Philippines
- Overland Philippines
 Instagram: 
- autospecs_autobuff
- triple_s_philippines
- silvers_coilovers_philippines
- nashin_philippines 
- overland_philippines
Our official hashtags:
#TeamAutospecs
#TeamAutobuff
#TripleSsuspension
#SilversCoilovers
#NashinBBK
#RacedaySpecialist1989
#FreepowerSdrive
#AutogaugeGauges
#Lightforce
#ARBTeamPhilippines
#OverlandTeamPhilippines
#Manila #Philippines #Cars #Car #CarsOfInstagram #CarPorn #CarLifeStyle #CarPhotography #InstaCars #InstaGood #Racing #LoweredLifestyle #JDM #Stance #Offroad #Offroading #OffroadNation #Overland #LiftedTrucks",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/12Mk7t9959F/,6.39,-181.95,219,30,4,18.5833,0.963,3,1,16.37%,59,0,-1.661618096,15.95449064
"Silvers Coilovers installation on the Subaru Forester SH! 
Salamat Boss Vince 
- Join countless others in the growing Silvers community in the Philippines.
- Currently the popular brand with the highest positive feedback from our local and international clients.
Silvers Neomax Coilovers specs:
- Heavy duty STANDARD front top mount plates
- Fully adjustable height 
- 1 year warranty
- 24 levels of soft and hard dampening
- Increased stability with STIFFER and STRONGER suspension feel
- 52mm carbon steel
- 44mm linear internal piston
- Monotube shock design
- IP F.A. 5w damper oil
- Cold-bent SAE9252 coilsprings
- Powder painted
- Rebuildable parts
- Full aftermarket support from Silvers Head Factory at Taiwan
- Professional manufacturing experience and certification since 1999
 We are a dealer of brand new, surplus, original & replacement parts. Offroad and Performance is our specialty.
Autobuff Motor Sales (Offroad branch):
- 667 Banawe st., corner N.S. Amoranto st., Q.C. 
- Beside Security Bank, Across Ersao, Near BDO Amoranto, Army Navy, Papa John's & Orthopedic.
- 87433207, 87111372 & 87433191.
Autospecs Motor Sales (Performance & OEM branch):
- 37H Banawe st., corner Dapitan st., Q.C. 
- Across Metrobank, Phil Biz Bank & Comglasco.
- 87323835, 87439376 & 87115046.
 Facebook Pages: 
- Autospecs Motor Sales
- Triple S Philippines
- Silvers Coilovers Philippines
- Raceday Specialist Philippines
- Autogauge Philippines
- Freepower Philippines
- Nashin Philippines
- Aftermarket Clothing
- Artsticker Philippines
- Jimny Offroad Philippines
- Cambo Suspension Philippines
- HC Winch Philippines
- Overland Philippines
Our official hashtags:
#TeamAutospecs
#TeamAutobuff
#TripleSsuspension
#SilversCoilovers
#NashinBBK
#RacedaySpecialist1989
#FreepowerSdrive
#AutogaugeGauges
#Lightforce
#ARBTeamPhilippines
#OverlandTeamPhilippines
#Manila #Philippines #Cars #Car #CarsOfInstagram #CarPorn #CarLifeStyle #CarPhotography #InstaCars #InstaGood #Racing #LoweredLifestyle #JDM #Stance #Offroad #Offroading #OffroadNation #Overland #LiftedTrucks",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/16SQFaRZk3/,6.57,-169.42,213,30,4,13,0.96,3,1,17.10%,60,0,-1.649924943,16.1119094
"Silvers Coilovers installation on the Suzuki Swift!
- Join countless others in the growing Silvers community in the Philippines.
- Currently the popular brand with the highest positive feedback from our local and international clients.
Silvers Neomax Coilovers specs:
- Heavy duty standard top mount plates
- Fully adjustable height 
- 1 year warranty
- 24 levels of soft and hard dampening
- Increased stability with STIFFER and STRONGER suspension feel
- 52mm carbon steel
- 44mm linear internal piston
- Monotube shock design
- IP F.A. 5w damper oil
- Cold-bent SAE9252 coilsprings
- Powder painted
- Rebuildable parts
- Full aftermarket support from Silvers Head Factory at Taiwan
- Professional manufacturing experience and certification since 1999
 We are a dealer of brand new, surplus, original & replacement parts. Offroad and Performance is our specialty.
Autobuff Motor Sales (Offroad branch):
- 667 Banawe st., corner N.S. Amoranto st., Q.C. 
- Beside Security Bank, Across Ersao, Near BDO Amoranto, Army Navy, Papa John's & Orthopedic.
- 87433207, 87111372 & 87433191.
Autospecs Motor Sales (Performance & OEM branch):
- 37H Banawe st., corner Dapitan st., Q.C. 
- Across Metrobank, Phil Biz Bank & Comglasco.
- 87323835, 87439376 & 87115046.
 Facebook Pages: 
- Autospecs Motor Sales
- Triple S Philippines
- Silvers Coilovers Philippines
- Raceday Specialist Philippines
- Autogauge Philippines
- Freepower Philippines
- Nashin Philippines
- Aftermarket Clothing
- Artsticker Philippines
- Jimny Offroad Philippines
- Cambo Suspension Philippines
- HC Winch Philippines
- Overland Philippines
 Instagram: 
- autospecs_autobuff
- triple_s_philippines
- silvers_coilovers_philippines
- nashin_philippines 
- overland_philippines
Our official hashtags:
#TeamAutospecs
#TeamAutobuff
#TripleSsuspension
#SilversCoilovers
#NashinBBK
#RacedaySpecialist1989
#FreepowerSdrive
#AutogaugeGauges
#Lightforce
#ARBTeamPhilippines
#OverlandTeamPhilippines
#Manila #Philippines #Cars #Car #CarsOfInstagram #CarPorn #CarLifeStyle #CarPhotography #InstaCars #InstaGood #Racing #LoweredLifestyle #JDM #Stance #Offroad #Offroading #OffroadNation #Overland #LiftedTrucks",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/1HHy34fnZx/,6.54,-175.62,214,30,4,20.25,0.964,3,1,16.40%,61,0,-1.675398205,15.77057843
"Silvers Coilovers installation on the Subaru BRZ!
- Join countless others in the growing Silvers community in the Philippines.
- Currently the popular brand with the highest positive feedback from our local and international clients.
Silvers Neomax Coilovers specs:
- Heavy duty standard top mount plates
- Fully adjustable height 
- 1 year warranty
- 24 levels of soft and hard dampening
- Increased stability with STIFFER and STRONGER suspension feel
- 52mm carbon steel
- 44mm linear internal piston
- Monotube shock design
- IP F.A. 5w damper oil
- Cold-bent SAE9252 coilsprings
- Powder painted
- Rebuildable parts
- Full aftermarket support from Silvers Head Factory at Taiwan
- Professional manufacturing experience and certification since 1999
 We are a dealer of brand new, surplus, original & replacement parts. Offroad and Performance is our specialty.
Autobuff Motor Sales (Offroad branch):
- 667 Banawe st., corner N.S. Amoranto st., Q.C. 
- Beside Security Bank, Across Ersao, Near BDO Amoranto, Army Navy, Papa John's & Orthopedic.
- 87433207, 87111372 & 87433191.
Autospecs Motor Sales (Performance & OEM branch):
- 37H Banawe st., corner Dapitan st., Q.C. 
- Across Metrobank, Phil Biz Bank & Comglasco.
- 87323835, 87439376 & 87115046.
 Facebook Pages: 
- Autospecs Motor Sales
- Triple S Philippines
- Silvers Coilovers Philippines
- Raceday Specialist Philippines
- Autogauge Philippines
- Freepower Philippines
- Nashin Philippines
- Aftermarket Clothing
- Artsticker Philippines
- Jimny Offroad Philippines
- Cambo Suspension Philippines
- HC Winch Philippines
- Overland Philippines
 Instagram: 
- autospecs_autobuff
- triple_s_philippines
- silvers_coilovers_philippines
- nashin_philippines 
- overland_philippines
Our official hashtags:
#TeamAutospecs
#TeamAutobuff
#TripleSsuspension
#SilversCoilovers
#NashinBBK
#RacedaySpecialist1989
#FreepowerSdrive
#AutogaugeGauges
#Lightforce
#ARBTeamPhilippines
#OverlandTeamPhilippines
#Manila #Philippines #Cars #Car #CarsOfInstagram #CarPorn #CarLifeStyle #CarPhotography #InstaCars #InstaGood #Racing #LoweredLifestyle #JDM #Stance #Offroad #Offroading #OffroadNation #Overland #LiftedTrucks",Facebook,Popular clothing brands Philippines,"June 16, 2025",https://www.facebook.com/share/p/1ARmo2oEgT/,6.54,-175.62,214,30,4,18.3667,0.96,3,1,16.55%,62,0,-1.669473187,15.84944293
